Site	frecuency
Kidney	1100
Retina	239
Pancreas	88
Adrenal	56
Cerebel	56
Soft Tissue	38
Large Intestine	37
Colorectal	21
Renal	20
Lung	18
Breast	10
Spinal	10
Skin	9
Central Nervous System	8
Thyroid	8
Prostate	7
Autonomic Ganglia	6
Stomach	5
Urinary Tract	5
Ocular	4
Oesophagus	4
Pleura	4
Upper Aerodigestive Tract	3
Endometrial	3
Salivary Gland	3
Abdominal	2
Cerebro-Spinal	2
Biliary tract	2
Haematopoietic Tissue	2
Lymphoid Tissue	2
Small Intestine	2
Penis	1
Peritoneum	1
Paratesticular Tissues	1
Biliary Tract	1
Bone	1
Intra-medulary	1
Ovary	1
Brain Stem	1
Intra-Adrenal	1
Right Temporal Lobe	1
Left Adrenal	1
Left Frontal Lobe	1
Endometrium	1
